,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.No.,Response No,"1.Have you ever participated in an outdoor or adventure event (e.g., surfing, hiking, horseback riding, skiing)?",2.Which of the events have you ever attended?,,,,,3.How many times per year do you typically attend such events?,4.What is your main motivation for attending these events?,5.How important is the event’s overall cost to you?,6.How important is the environment’s visual and thematic appeal to you?,"7.How important is a scenic, easily accessible location when choosing an event?","8.How important are additional amenities (e.g., food, music, freebies) to your enjoyment?",9.How important is having a range of different activities within the same event?,15.€20,16.€30,17.€40,18.€50,19.€60,10.€75,11.€100,12.€125,13.€150,14.€175,20.I’m willing to pay more if the visuals and the atmosphere of the event is particularly outstanding.,21.I would pay more if the location is especially convenient or attractive.,"22.High-quality amenities (food, music, etc.) leads to accepting higher prices for me.",23.I value a wide variety of activities enough to pay more.,"24.I’d rather have one excellent, well-managed activity with great atmosphere, than multiple average ones.","25.I prefer a basic location if it offers great amenities (e.g., quality food, music).","26.If all these factors (Price, Visual Appeal, Location, Amenities, Variety of Activites) are ideal, I am willing to pay a higher price.",27.Which single factor most often influences your decision to attend an event?,28.Which of these statements best describes your attitude towards paying for events?,29.I often decide whether to attend an event based on friends’ or social media recommendations.,"30.If you found an event that matched all your preferences, how likely would you recommend it to others?",31.Gender,32.Age,Timestamp
11,11,Yes,Horseback Riding,,Hiking,,,1-2 times,Adventure and excitement,4,3,4,6,5,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.",5,4,6,5,6,3,6,Outstanding visual and Appealing atmosphere,Experience-Focused: I’m happy to pay more for a unique experience,6,6,Male,24,12/25/2024 14:55
12,12,Yes,Horseback Riding,,Hiking,,,1-2 times,Relaxation and escaping routine,6,5,5,4,5,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",3,3,4,3,5,4,3,Outstanding visual and Appealing atmosphere,Spontaneous: It varies; I decide case by case,4,6,Female,25,12/25/2024 15:00
13,13,No,,,,,None of the above,0 times,Adventure and excitement,7,4,6,5,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",3,3,4,4,5,3,3,Lowest price,Cost-Focused: I tend to choose the cheapest options,5,4,Male,25,12/25/2024 15:11
14,14,Yes,,,Hiking,,,6+ times,Adventure and excitement,5,7,7,6,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.",7,7,6,6,7,4,7,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,5,6,Male,23,12/25/2024 15:46
15,15,No,,,,,None of the above,0 times,Socializing and meeting new people,6,5,7,6,6,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",2,2,3,3,4,3,2,Lowest price,Balanced: I pay more only if it truly seems worth it,3,6,Female,26,12/25/2024 15:47
16,16,Yes,,,,,None of the above,0 times,Adventure and excitement,5,7,3,4,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,4,4,5,5,2,6,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,4,7,Male,32,12/25/2024 16:45
17,17,Yes,,,Hiking,,,3-5 times,Socializing and meeting new people,5,7,7,2,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.",6,6,3,4,4,1,7,Convenient or appealing location,Balanced: I pay more only if it truly seems worth it,7,6,Male,36,12/25/2024 16:58
18,18,Yes,,,Hiking,,,3-5 times,Adventure and excitement,3,6,7,4,6,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,4,4,5,5,6,6,Lowest price,Cost-Focused: I tend to choose the cheapest options,7,7,Female,29,12/25/2024 16:59
19,19,Yes,,,Hiking,,,1-2 times,Relaxation and escaping routine,4,5,3,5,4,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,5,6,4,6,3,6,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,5,6,Male,27,12/25/2024 17:15
20,20,Yes,Horseback Riding,,Hiking,,,1-2 times,Adventure and excitement,5,6,4,6,6,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",6,5,6,6,7,4,7,Outstanding visual and Appealing atmosphere,Experience-Focused: I’m happy to pay more for a unique experience,6,7,Male,24,12/25/2024 17:25
21,21,Yes,Horseback Riding,,,,,3-5 times,Relaxation and escaping routine,7,7,7,5,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",7,7,5,2,7,7,5,Lowest price,Cost-Focused: I tend to choose the cheapest options,7,7,Female,27,12/25/2024 17:42
22,22,Yes,,Surfing,,Skiing,,3-5 times,Adventure and excitement,3,6,7,4,6,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",7,7,7,7,7,4,4,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,6,5,Male,30,12/25/2024 18:09
23,23,No,,,,,None of the above,0 times,Socializing and meeting new people,6,6,6,4,6,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,4,2,4,5,5,5,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,5,7,Male,30,12/25/2024 19:54
24,24,Yes,Horseback Riding,,Hiking,,,1-2 times,Adventure and excitement,2,7,7,4,7,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,6,4,7,7,5,7,Broad choice of activities,Balanced: I pay more only if it truly seems worth it,7,7,Female,28,12/25/2024 23:24
25,25,Yes,,,Hiking,,,1-2 times,Relaxation and escaping routine,7,4,4,3,3,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,4,4,3,6,4,6,Lowest price,Spontaneous: It varies; I decide case by case,6,7,Female,۲۷,12/26/2024 02:24
26,26,Yes,,,Hiking,,,1-2 times,Relaxation and escaping routine,2,4,5,4,2,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",6,6,4,6,5,2,6,Lowest price,Balanced: I pay more only if it truly seems worth it,7,6,Male,26,12/26/2024 06:24
27,27,Yes,,,,Skiing,,6+ times,Adventure and excitement,3,4,3,3,3,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",6,6,6,6,6,6,6,Outstanding visual and Appealing atmosphere,Spontaneous: It varies; I decide case by case,5,5,Male,25,12/26/2024 07:48
28,28,Yes,,,,Skiing,,1-2 times,Relaxation and escaping routine,6,6,4,3,5,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,4,5,4,4,5,5,Lowest price,Balanced: I pay more only if it truly seems worth it,4,6,Male,27,12/26/2024 10:41
29,29,Yes,,,Hiking,,,3-5 times,Relaxation and escaping routine,5,5,4,3,3,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",3,4,3,3,5,3,5,Lowest price,Balanced: I pay more only if it truly seems worth it,6,7,Male,25,12/26/2024 11:24
30,30,No,,,,,None of the above,0 times,Adventure and excitement,6,5,3,3,2,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",6,5,3,3,4,3,5,Outstanding visual and Appealing atmosphere,Spontaneous: It varies; I decide case by case,4,6,Male,25,12/26/2024 13:25
31,31,Yes,,,Hiking,,,1-2 times,Adventure and excitement,5,4,2,3,3,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",1,3,3,5,4,3,5,Lowest price,Balanced: I pay more only if it truly seems worth it,5,4,Male,23,12/26/2024 13:27
32,32,Yes,,,Hiking,,,3-5 times,Socializing and meeting new people,3,5,2,6,6,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.",4,5,6,5,3,6,6,High-quality amenities,Balanced: I pay more only if it truly seems worth it,7,7,Male,22,12/26/2024 14:04
33,33,No,,,,,None of the above,0 times,Other (please only choose if fits best),6,6,7,5,6,"No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.",5,2,4,4,5,4,4,Lowest price,Cost-Focused: I tend to choose the cheapest options,4,4,Female,25,12/26/2024 14:12
34,34,Yes,,,Hiking,,,1-2 times,Adventure and excitement,7,7,7,4,2,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,4,2,2,7,3,4,Lowest price,Experience-Focused: I’m happy to pay more for a unique experience,5,6,Male,24,12/26/2024 14:37
35,35,Yes,,,Hiking,,,0 times,Relaxation and escaping routine,6,5,4,6,1,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,4,1,2,6,4,5,Convenient or appealing location,Spontaneous: It varies; I decide case by case,5,6,Male,22,12/26/2024 14:44
36,36,No,,,,,None of the above,0 times,Socializing and meeting new people,5,5,4,4,5,"No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,5,5,4,4,5,5,Others,Balanced: I pay more only if it truly seems worth it,4,6,Male,24,12/26/2024 14:51
37,37,Yes,,,Hiking,,,6+ times,Relaxation and escaping routine,2,5,2,7,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",7,7,7,7,5,5,7,High-quality amenities,Experience-Focused: I’m happy to pay more for a unique experience,6,7,Male,22,12/26/2024 15:03
38,38,Yes,,Surfing,Hiking,,,3-5 times,Relaxation and escaping routine,7,7,5,6,6,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,5,4,5,7,3,4,Outstanding visual and Appealing atmosphere,Spontaneous: It varies; I decide case by case,5,7,Male,26,12/26/2024 15:43
39,39,Yes,,,Hiking,,,3-5 times,Relaxation and escaping routine,4,6,3,6,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.",4,4,5,5,7,5,5,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,6,7,Male,21,12/26/2024 17:04
40,40,Yes,Horseback Riding,,Hiking,Skiing,,6+ times,Adventure and excitement,7,6,7,4,7,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",7,3,2,4,4,5,4,Outstanding visual and Appealing atmosphere,Spontaneous: It varies; I decide case by case,7,7,Male,25,12/26/2024 17:16
41,41,Yes,Horseback Riding,,Hiking,,,1-2 times,Adventure and excitement,4,6,6,5,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.",6,6,6,6,6,6,6,Convenient or appealing location,Balanced: I pay more only if it truly seems worth it,5,6,Male,24,12/26/2024 17:27
42,42,Yes,,,,,None of the above,1-2 times,Socializing and meeting new people,7,7,7,4,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",6,8,7,8,7,7,2,Lowest price,Cost-Focused: I tend to choose the cheapest options,7,7,Female,32,12/26/2024 17:34
43,43,Yes,,,Hiking,,,1-2 times,Relaxation and escaping routine,6,5,6,4,4,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,4,4,5,3,4,5,Outstanding visual and Appealing atmosphere,Balanced: I pay more only if it truly seems worth it,5,6,Female,35,12/26/2024 17:35
44,44,Yes,,,Hiking,,,6+ times,Relaxation and escaping routine,6,6,2,2,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,4,2,3,6,4,6,Convenient or appealing location,Balanced: I pay more only if it truly seems worth it,4,5,Male,33,12/26/2024 20:43
45,45,Yes,,,,Skiing,,1-2 times,Adventure and excitement,5,7,7,7,3,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",7,5,7,4,5,7,7,High-quality amenities,Balanced: I pay more only if it truly seems worth it,3,7,Female,27,12/26/2024 20:54
46,46,Yes,,,,,None of the above,1-2 times,Relaxation and escaping routine,5,5,5,5,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,6,5,6,4,2,5,Broad choice of activities,Experience-Focused: I’m happy to pay more for a unique experience,4,6,Female,28,12/26/2024 22:03
47,47,Yes,,,Hiking,,,1-2 times,Adventure and excitement,5,3,7,6,7,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,3,2,2,1,2,5,Lowest price,Cost-Focused: I tend to choose the cheapest options,4,6,Male,24,12/27/2024 08:20
48,48,Yes,,,Hiking,,,0 times,Relaxation and escaping routine,5,7,6,5,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",6,5,5,5,4,4,6,Outstanding visual and Appealing atmosphere,Experience-Focused: I’m happy to pay more for a unique experience,6,7,Female,37,12/27/2024 10:29
49,49,Yes,,,Hiking,,,6+ times,Relaxation and escaping routine,4,5,3,2,2,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",3,3,3,5,3,4,5,Convenient or appealing location,Experience-Focused: I’m happy to pay more for a unique experience,6,7,Female,29,12/27/2024 12:02
50,50,Yes,,,Hiking,Skiing,,1-2 times,Socializing and meeting new people,3,3,4,4,2,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.",4,3,4,3,6,3,3,High-quality amenities,Experience-Focused: I’m happy to pay more for a unique experience,3,3,Female,33,12/27/2024 13:10
51,51,Yes,,,,,None of the above,1-2 times,Relaxation and escaping routine,7,5,5,6,2,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",1,1,2,1,4,2,2,Outstanding visual and Appealing atmosphere,Spontaneous: It varies; I decide case by case,3,6,Male,30,12/27/2024 15:52
52,52,Yes,,,Hiking,,,6+ times,Adventure and excitement,7,7,2,2,2,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy",4,4,2,2,5,2,4,Outstanding visual and Appealing atmosphere,Spontaneous: It varies; I decide case by case,1,6,Female,36,12/27/2024 15:55
53,53,Yes,,,Hiking,,,1-2 times,Adventure and excitement,3,4,6,5,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,6,6,4,6,5,5,Outstanding visual and Appealing atmosphere,Experience-Focused: I’m happy to pay more for a unique experience,4,7,Female,36,12/27/2024 16:27
54,54,Yes,,,Hiking,,,6+ times,Relaxation and escaping routine,2,6,2,3,6,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",3,2,2,2,2,5,2,Broad choice of activities,Balanced: I pay more only if it truly seems worth it,3,6,Male,27,12/27/2024 16:59
55,55,No,,,,,None of the above,0 times,Relaxation and escaping routine,7,6,6,6,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,4,6,3,5,4,5,High-quality amenities,Cost-Focused: I tend to choose the cheapest options,5,4,Male,20,12/27/2024 23:07
56,56,Yes,,Surfing,,,,6+ times,Socializing and meeting new people,5,5,3,6,5,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","No, I would not buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy.","Yes, I would buy.",5,5,5,5,6,5,6,High-quality amenities,Cost-Focused: I tend to choose the cheapest options,5,6,Female,33,12/27/2024 23:10
57,57,Yes,,,Hiking,,,1-2 times,Relaxation and escaping routine,3,6,6,7,3,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",2,3,2,3,4,3,4,Lowest price,Cost-Focused: I tend to choose the cheapest options,3,5,Female,26,12/28/2024 13:50
58,58,Yes,,,Hiking,,,1-2 times,Adventure and excitement,4,5,5,4,3,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,5,5,5,4,3,6,Convenient or appealing location,Balanced: I pay more only if it truly seems worth it,5,6,Female,20,12/28/2024 14:35
59,59,Yes,,,Hiking,,,3-5 times,Relaxation and escaping routine,4,6,3,5,5,"No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.",5,3,6,6,6,2,5,Outstanding visual and Appealing atmosphere,Experience-Focused: I’m happy to pay more for a unique experience,5,6,Male,33,12/28/2024 16:30
60,60,No,,,,,None of the above,0 times,Relaxation and escaping routine,7,7,7,7,4,"Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,6,5,5,5,5,5,Outstanding visual and Appealing atmosphere,Experience-Focused: I’m happy to pay more for a unique experience,5,5,Female,34,12/28/2024 16:51
61,61,No,,,,,None of the above,0 times,Relaxation and escaping routine,7,7,4,6,6,"Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","No, I would not buy","No, I would not buy","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.","Yes, I would buy.",5,2,6,5,4,5,6,Lowest price,Cost-Focused: I tend to choose the cheapest options,3,7,Male,30,12/28/2024 17:24
62,62,Yes,,,,Skiing,,1 times,Socializing and meeting new people,6,6,6,7,7,"Yes, I would buy","Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","Yes, I would buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",5,6,7,6,4,4,7,Convenient or appealing location,Experience-Focused: I’m happy to pay more for a unique experience,4,5,Male,28,12/28/2024 17:59
63,63,Yes,,,Hiking,,,1-2 times,Socializing and meeting new people,4,3,7,5,6,"Yes, I would buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.","No, I would not buy.",4,6,4,6,2,2,3,High-quality amenities,Balanced: I pay more only if it truly seems worth it,4,7,Female,24,12/28/2024 18:20
